,CD_ESCOLA,MUN,NM_COMPLETO_ESCOLA,DS_ENDERECO,LATITUDE,LONGITUDE,NIVEL SOCIOECONOMICO DOS ALUNOS,CODESC,ANOS_FINAIS_var,ANOS_INICIAIS_var,ENSINO_MEDIO_var,CODIGO_CIE,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MEDIO
0,36444,SAO PAULO,GENESIO DE ALMEIDA MOURA DOUTOR,DOMINGOS AREVALO ,-23.447,-46.6967,4.61,36444,8.092485549132956,8.36653386454185,125.39682539682538,36444,2.72,1.87,1.42
1,1582,SAO PAULO,DOMINGOS FAUSTINO SARMIENTO,21 DE ABRIL ,-23.5422317000605,-46.6057931815944,4.56,1582,,38.48396501457725,,1582,4.75,,
2,2173,SAO PAULO,JOAO BORGES PROFESSOR,ITAPURA ,-23.5473,-46.566,9.72,2173,17.44471744471744,,15.217391304347819,2173,,4.78,3.71
3,3086,SAO PAULO,HELENA LOMBARDI BRAGA PROFESSORA,VIRGINIA DE MIRANDA ,-23.526587300000003,-46.45288789999999,6.3,3086,54.94505494505493,,41.61490683229812,3086,,2.82,2.28
4,2884,SAO PAULO,RAUL PILLA DEPUTADO,RUA SAO BERTOLDO,-23.4942965,-46.457064100000004,5.27,2884,106.07476635514017,,,2884,,4.41,
5,35610,SAO PAULO,RENATA GRAZIANO DE OLIVEIRA PRADO PROFESSORA,ARNALDO DANIEL ,-23.694090539885803,-46.7885337244675,4.42,35610,43.74999999999999,,97.89473684210526,35610,,2.76,1.88
6,4388,SAO PAULO,SEMINARIO NOSSA SENHORA DA GLORIA,RUA MOREIRA DE GODOI,-23.5916041,-46.6096977,8.41,4388,14.138817480719801,7.185628742514977,,4388,5.37,4.44,
7,4424,SAO PAULO,FRANCISCO DE ASSIS REYS,RUA BOM PASTOR,-23.590326,-46.607238200000005,6.9399999999999995,4424,,53.103448275862085,,4424,6.66,,
8,1739,SAO PAULO,ANDRE DREYFUS PROFESSOR,RUA PEDRO DE GODOI,-23.5879693,-46.5827517,5.76,1739,,-7.046979865771812,,1739,5.54,,
9,4947,SAO PAULO,NEYDE APPARECIDA SOLLITTO PROFESSORA,JOSE MARIA PINTO ZILLI ,-23.6209566047728,-46.7464731534424,5.46,4947,99.36305732484075,,151.16279069767444,4947,4.25,3.13,2.16
10,906530,SAO PAULO,ETELVINA DE GOES MARCUCCI PROFESSORA,JOSE CARLOS DE TOLEDO PIZA ,-23.620224,-46.730484999999994,4.32,906530,45.45454545454546,,24.800000000000004,906530,,2.4,1.56
11,906585,SAO PAULO,JAYR DE ANDRADE PROFESSOR,RUA LUIS VIANA,-23.7335,-46.7004,5.35,906585,,112.54125412541256,,906585,6.44,,
12,46361,SAO PAULO,ESTHER GARCIA PROFA EE,RUA ANTONIO CARLOS BENJAMIM DOS SANTOS,-23.7478,-46.6974,4.79,46361,40.0,,149.33333333333334,46361,,2.38,1.87
13,901805,CAIEIRAS,MARIO TOLEDO DE MORAES,ERMENIO DE OLIVEIRA PENTEADO,-23.384220123291,-46.7144088745117,6.34,901805,31.690140845070434,,54.022988505747136,901805,,3.74,2.68
14,44957,FRANCISCO MORATO,VINCENZO LOBASSI,R JOSE MANOEL MARTINS,-23.287518873283602,-46.7594289755325,4.39,44957,33.84030418250951,,63.703703703703695,44957,,3.52,2.21
15,924167,FRANCISCO MORATO,PARQUE CENTO E VINTE II,RUA LAZARO CLAUDIO DE OLIVEIRA,-23.2617,-46.7364,4.39,924167,38.84297520661157,,44.60431654676258,924167,,3.36,2.01
16,5885,GUARULHOS,ROTARY,AVENIDA SENADOR ADOLF SCHINDLING,-23.4908275750767,-46.550804808984395,4.29,5885,12.556053811659185,,105.30973451327435,5885,,2.51,2.32
17,6026,GUARULHOS,ANTONIO DE RE VEREADOR,RUA DA PENHA,-23.461648999999998,-46.514559000000006,7.720000000000001,6026,21.698113207547166,,-0.7434944237918222,6026,,3.87,2.67
18,41919,GUARULHOS,SEBASTIAO WALTER FUSCO,AVENIDA SARGENTO JAIME REGALO PEREIRA,-23.4473160570728,-46.4659919928681,5.52,41919,67.59776536312849,,79.33884297520662,41919,,3.0,2.17
19,285785,GUARULHOS,REPUBLICA DA VENEZUELA II,CAMPO ALEGRE ,-23.461762516438604,-46.439911828697205,3.79,285785,-0.38314176245209913,,-22.891566265060238,285785,,2.6,1.28
20,908459,GUARULHOS,WANDA MASCAGNI DE SA PROFESSORA,RUA OLGA DE MORAIS LIOTA,-23.438679800000003,-46.553298299999994,5.93,908459,77.77777777777779,,16.071428571428573,908459,,3.52,1.95
21,916924,MOGI DAS CRUZES,EURYCLIDES DE JESUS ZERBINI,LAURA ,-23.4871284,-46.2852066,3.8200000000000003,916924,56.88888888888888,,,916924,,3.53,
22,35531,FERRAZ DE VASCONCELOS,PAULO AMERICO PAGANUCCI PROFESSOR,QUINZE DE NOVEMBRO ,-23.5584,-46.3585,3.63,35531,17.801047120418854,,39.864864864864856,35531,,2.25,2.07
23,908927,FERRAZ DE VASCONCELOS,OLZANETTI GOMES PROFESSOR,SEBASTIAO LEITE ,-23.5379,-46.3717,5.26,908927,-11.299435028248585,,57.692307692307686,908927,,3.14,2.46
24,46197,SUZANO,CHOJIRO SEGAWA,INDIO TIBIRICA ,-23.649967331472602,-46.325477776651795,4.83,46197,39.81481481481481,,65.94202898550726,46197,,3.02,2.29
25,7298,POA,SIMON SWITZAR PADRE,CAPANEMA ,-23.5204,-46.3417,7.25,7298,23.10231023102311,,43.93305439330543,7298,,3.73,3.44
26,7959,RIBEIRAO PIRES,ALVARO DE SOUZA VIEIRA,AVENIDA PRINCESA IZABEL,-23.6948,-46.4316,6.27,7959,68.609865470852,,74.3455497382199,7959,,3.76,3.33
27,8357,SANTO ANDRE,JOAO GALEAO CARVALHAL SENADOR,BOSQUE ,-23.6619,-46.5363,9.3,8357,7.923497267759563,,5.26315789473684,8357,,3.95,3.4
28,925123,GUARULHOS,INOCOOP II,ELIAS DABARIAN ,-23.423000000000002,-46.419,5.54,925123,63.52941176470588,,110.97560975609757,925123,,2.78,1.73
29,39342,SAO PAULO,JOSE OSCAR ABREU SAMPAIO,LUISA MARIA ROSA ,-23.4441669020473,-46.785246763229296,3.4400000000000004,39342,16.412213740458004,-1.5873015873015885,-5.932203389830495,39342,4.96,3.05,1.11
30,37102,SAO PAULO,MARTIN EGIDIO DAMY,PAULO GARCIA AQUILINE ,-23.4698,-46.6864,5.51,37102,,,107.40740740740739,37102,,,1.68
31,395,SAO PAULO,JOAQUIM LUIZ DE BRITO PROFESSOR,RUA SANTA LUCIA FILIPPINI,-23.4886,-46.6907,6.75,395,57.54716981132074,,52.71317829457364,395,,3.34,1.97
32,620,SAO PAULO,ANTONIO EMILIO SOUZA PENNA PROFESSOR,CAROLINA MARIA DO CARMO ,-23.5038,-46.6926,7.01,620,39.13043478260871,,23.15270935960592,620,,3.52,2.5
33,838,SAO PAULO,JOAO VIEIRA DE ALMEIDA,GUILHERME COTCHING ,-23.518256163598103,-46.589430612165394,6.45,838,106.52173913043477,,79.50819672131148,838,,3.8,2.19
34,2410,SAO PAULO,THEODOMIRO EMERIQUE PROFESSOR,UICO ,-23.521900282540997,-46.5216458406143,7.37,2410,,19.665271966527182,,2410,5.72,,
35,902724,SAO PAULO,FERNANDO MAURO PIRES DA ROCHA DEPUTADO,JOSE PINTO ,-23.6068877975285,-46.4024754407532,4.89,902724,49.06832298136645,55.59566787003608,59.34065934065933,902724,4.31,2.4,1.45
36,904314,SAO PAULO,GUERRA JUNQUEIRO,FLORIANO ARRESTI ,-23.5650320083988,-46.39375358819961,5.34,904314,62.430939226519335,,34.58646616541353,904314,,2.94,1.79
37,923916,SAO PAULO,MARCOS ANTONIO COSTA PROFESSOR,GODOI BUENO ,-23.630691380099396,-46.443163205001795,3.92,923916,23.756906077348074,78.24267782426776,32.00000000000001,923916,4.26,2.24,1.32
38,3585,SAO PAULO,MANUEL CIRIDIAO BUARQUE PROFESSOR,RUA CERRO CORA,-23.5401,-46.7037,9.03,3585,,,24.232081911262796,3585,,,3.64
