CodigoCIE,CodigoINEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,NivelEnsino,Ano2011,Ano2012,Ano2013,Ano2014,Ano2015,Ano2016,Ano2017
206,35000206,10101,NORTE 1,ALIPIO DE BARROS PROFESSOR                                  ,SAO PAULO,AI,3.85,4.53,4.27,5.49,4.94,5.18,5.2
2082,35002082,10205,LESTE 5,BLANCA ZWICKER SIMOES PROFESSORA                            ,SAO PAULO,AI,6.42,5.95,6.83,6.64,6.62,7.13,7.41
3165,35003165,10208,LESTE 4,JANDYRA VIEIRA CUNHA BARRA PROFA                            ,SAO PAULO,AI,4.23,4.5,3.59,4.92,4.57,4.91,5.43
681,35000681,10102,CENTRO,TOLEDO BARBOSA                                              ,SAO PAULO,AI,4.72,4.13,4.7,4.58,4.54,5.35,5.53
449,35000449,10102,CENTRO,TAUNAY VISCONDE DE                                          ,SAO PAULO,AI,4.69,5.93,7.11,8.03,6.25,5.97,6.9
127,35000127,10101,NORTE 1,JOSE ALTENFELDER SILVA PROFESSOR                            ,SAO PAULO,AI,4.22,4.14,4.21,4.88,6.01,5.69,5.74
504,35000504,10102,CENTRO,MARIO TEIXEIRA MARIANO PROFESSOR                            ,SAO PAULO,AI,4.5,5,5.66,6.02,6.63,6.31,6.17
255,35000255,10101,NORTE 1,CLODOMIRO CARNEIRO                                          ,SAO PAULO,AI,,,,,,,
1430,35001430,10205,LESTE 5,ANDRE OHL                                                   ,SAO PAULO,AI,5.83,5.08,5.96,5.1,6.11,6.28,6.34
619,35000619,10101,NORTE 1,REGENTE FEIJO                                               ,SAO PAULO,AI,5,4.6,3.81,4.64,4.81,4.5,5.79
4996,35004996,10314,SUL 2,DAVINA AGUIAR DIAS PROFESSORA                               ,SAO PAULO,AI,3.13,2.81,3.86,3.4,5.57,4.12,3.73
1442,35001442,10205,LESTE 5,ANDRE XAVIER GALLICHO PROFESSOR                             ,SAO PAULO,AI,5.04,3.73,,5.79,6.12,4.87,5.16
2124,35002124,10205,LESTE 5,CARLOS ESCOBAR                                              ,SAO PAULO,AI,5.52,6.5,3.42,3.36,4.57,5.1,5.04
4406,35004406,10316,CENTRO SUL,MILDRE ALVARES BIAGGI PROFESSORA                            ,SAO PAULO,AI,4.38,3.99,,4.85,6.29,5.83,5.49
863,35000863,10104,NORTE 2,JOSE MARCELINO DA FONSECA MAJOR                             ,SAO PAULO,AI,6.43,6.72,6.49,6.76,7.1,7.94,7.28
85,35000085,10101,NORTE 1,JULIO CESAR DE OLIVEIRA PROFESSOR                           ,SAO PAULO,AI,3.76,5.2,4.91,5.54,5.78,6.61,5.89
644,35000644,10101,NORTE 1,PIO XII                                                     ,SAO PAULO,AI,4.76,3.57,3.3,4.07,5.81,6.07,5.99
61,35000061,10101,NORTE 1,SUZANA DE CAMPOS DONA                                       ,SAO PAULO,AI,3.65,,3.34,3.73,4.81,4.77,5.51
115,35000115,10101,NORTE 1,FRANCISCO FARIA NETO PROFESSOR                              ,SAO PAULO,AI,3.38,2.89,3.03,3.52,3.47,4.44,4.25
2948,35002948,10210,LESTE 2,PLINIO CAIADO DE CASTRO DR                                  ,SAO PAULO,AI,3.26,3.36,3.32,3.96,3.91,4.8,4.54
1053,35001053,10104,NORTE 2,LUIZ AMARAL WAGNER PROF                                     ,SAO PAULO,AI,4.66,4.49,4.77,4.29,4.55,4.39,4.1
152,35000152,10101,NORTE 1,OCTAVIO MONTEIRO DE CASTRO PROFESSOR                        ,SAO PAULO,AI,4.53,4.62,5.13,6.01,6.1,4.79,5.2
425,35000425,10104,NORTE 2,REPUBLICA DO CHILE                                          ,SAO PAULO,AI,4.65,5.28,5.42,4.52,6.47,6.01,6.24
24,35000024,10101,NORTE 1,GAVIAO PEIXOTO BRIGADEIRO                                   ,SAO PAULO,AI,,3.78,,,,,4.83
1223,35001223,10104,NORTE 2,MARIA PAULA MARCONDES DOMINGUES PROFA                       ,SAO PAULO,AI,5.86,5.22,5.08,5.63,7.12,5.66,6.65
3049,35003049,10210,LESTE 2,ANTONIO DE PADUA VIEIRA                                     ,SAO PAULO,AI,4.2,4.29,4.71,5.07,5.76,6.13,5.85
2021,35002021,10205,LESTE 5,IRENE RIBEIRO PROFESSORA                                    ,SAO PAULO,AI,5.32,4.93,4.91,4.98,6.52,6.08,7.33
693,35000693,10104,NORTE 2,RITA BICUDO PEREIRA PROFA                                   ,SAO PAULO,AI,2.82,3.91,3.28,4.44,4.53,5.84,4.78
1119,35001119,10104,NORTE 2,EURIPEDES DE CASTRO                                         ,SAO PAULO,AI,3.73,4.88,4.41,4.49,4.84,4.24,4.7
474,35000474,10101,NORTE 1,MATHIAS AIRES                                               ,SAO PAULO,AI,4.31,4.7,5.62,8.19,5.8,6.72,5.6
1892,35001892,10316,CENTRO SUL,REPUBLICA DO PARAGUAY                                       ,SAO PAULO,AI,5.24,5.43,6.03,8.48,,,5.62
310,35000310,10102,CENTRO,ARY BARROSO                                                 ,SAO PAULO,AI,3.66,4.63,3.7,3.58,4.45,5.97,4.25
309,35000309,10102,CENTRO,BENEDITO TOLOSA PROFESSOR                                   ,SAO PAULO,AI,4.37,4.51,4.12,4.88,4.13,4.86,5.3
